"","JULDAY","TIME","D0cm","D1.5cm","D3.5cm","D5cm","D10cm","D15cm","D30cm","D60cm","D100cm","D200cm"
"1",1,0,20.3589496612549,30.65403175354,31.0654602050781,31.3460159301758,32.1066665649414,32.6088905334473,32.7133598327637,30.3894596099854,28.1982765197754,24.1244487762451
"2",1,60,25.3603477478027,30.7884883880615,31.1077728271484,31.2083263397217,31.7765846252441,32.2100791931152,32.521240234375,30.4157104492188,28.2081928253174,24.1244487762451
"3",1,120,25.4578227996826,30.8756980895996,30.5933265686035,31.2033710479736,31.5622539520264,31.9382266998291,32.3252906799316,30.4315147399902,28.2182312011719,24.1244487762451
"4",1,180,25.6026592254639,30.5777015686035,30.7860908508301,30.9342670440674,31.3750820159912,31.7211360931396,32.1371726989746,30.4378337860107,28.2282104492188,24.1244487762451
"5",1,240,25.8846473693848,30.4538726806641,30.6468029022217,30.7847957611084,31.1993217468262,31.5292167663574,31.9594802856445,30.4358215332031,28.2379875183105,24.1244487762451
"6",1,300,25.9519348144531,30.2230739593506,30.7635269165039,30.5737495422363,31.0461978912354,31.3564109802246,31.7924289703369,30.4265995025635,28.247428894043,24.1244487762451
"7",1,360,26.2470703125,30.2356338500977,30.4051151275635,30.5270118713379,30.8973369598389,31.1982612609863,31.6357135772705,30.4111862182617,28.2564296722412,24.1244487762451
"8",1,420,28.5568180084229,30.3362922668457,30.4304141998291,30.5086994171143,30.7963409423828,31.0596446990967,31.488899230957,30.3905010223389,28.2649021148682,24.1244487762451
"9",1,480,31.3940830230713,30.6656112670898,30.6627521514893,30.6774349212646,30.8088474273682,30.9777164459229,31.3545608520508,30.3654098510742,28.2727737426758,24.1244487762451
"10",1,540,34.3327407836914,31.1472835540771,31.0440158843994,30.9911861419678,30.9380073547363,30.9788837432861,31.2394790649414,30.3369426727295,28.2799949645996,24.1244487762451
"11",1,600,36.8546867370605,31.7026882171631,31.5145988464355,31.4002342224121,31.1650218963623,31.0653133392334,31.1508674621582,30.3063678741455,28.2865333557129,24.1244487762451
"12",1,660,38.3401336669922,32.2211074829102,31.983118057251,31.8282699584961,31.4496440887451,31.2214889526367,31.0937175750732,30.2751293182373,28.2923755645752,24.1244487762451
"13",1,720,39.5684013366699,32.6861839294434,32.4112739562988,32.227668762207,31.7461357116699,31.4174308776855,31.0690078735352,30.2447052001953,28.2975444793701,24.1244487762451
"14",1,780,40.1257019042969,33.079761505127,32.7905769348145,32.5911331176758,32.0391807556152,31.6313323974609,31.0740585327148,30.2164058685303,28.3020839691162,24.1244487762451
"15",1,840,39.5305404663086,33.316780090332,33.0502433776855,32.8603782653809,32.2951049804688,31.8430347442627,31.1043186187744,30.1912784576416,28.3060512542725,24.1244487762451
"16",1,900,37.8009033203125,33.3348960876465,33.1299476623535,32.9750785827637,32.4685211181641,32.022575378418,31.1528797149658,30.1700325012207,28.3095226287842,24.1244487762451
"17",1,960,35.0842399597168,33.1101379394531,32.9984245300293,32.9019775390625,32.5235252380371,32.1381683349609,31.2100868225098,30.1529579162598,28.3125782012939,24.1244487762451
"18",1,1020,31.8654766082764,32.6672668457031,32.6650199890137,32.6396865844727,32.4410247802734,32.1646499633789,31.2643985748291,30.1398448944092,28.3153057098389,24.1244487762451
"19",1,1080,28.5874862670898,32.0671653747559,32.1728973388672,32.2223014831543,32.2266883850098,32.0909156799316,31.3041076660156,30.129976272583,28.3177700042725,24.1244487762451
"20",1,1140,26.8120708465576,31.4823322296143,31.6480846405029,31.7459659576416,31.918420791626,31.9240856170654,31.3194274902344,30.1222114562988,28.3200225830078,24.1244487762451
"21",1,1200,26.0239734649658,31.0130290985107,31.2018661499023,31.3220138549805,31.5930595397949,31.7017765045166,31.3053607940674,30.1151485443115,28.3220901489258,24.1244487762451
"22",1,1260,25.4716281890869,30.6306838989258,30.8253498077393,30.9624557495117,31.2877330780029,31.4640941619873,31.2632961273193,30.1074295043945,28.3239898681641,24.1244487762451
"23",1,1320,25.0623874664307,30.2310695648193,30.6441707611084,30.5980472564697,31.007833480835,31.2301425933838,31.1981315612793,30.0979442596436,28.3256969451904,24.1244487762451
"24",1,1380,24.7372531890869,30.0028953552246,30.2138576507568,30.3573417663574,30.7455978393555,31.0059871673584,31.1151905059814,30.0859317779541,28.3271770477295,24.1244487762451
"25",2,0,24.4989547729492,29.7427406311035,29.9548759460449,30.100757598877,30.5059013366699,30.7932071685791,31.0191555023193,30.0708904266357,28.32839012146,24.1244487762451
"26",2,60,24.4345951080322,29.5200729370117,29.7285213470459,29.8732891082764,30.286262512207,30.5924301147461,30.9138965606689,30.0525436401367,28.3292827606201,24.1244487762451
"27",2,120,24.4199562072754,29.3294010162354,29.5377616882324,29.6748332977295,30.088752746582,30.4053764343262,30.8026657104492,30.0308132171631,28.3298149108887,24.1244487762451
"28",2,180,24.4487648010254,29.1684913635254,29.3645248413086,29.5030689239502,29.9110050201416,30.2326622009277,30.6882495880127,30.005744934082,28.329927444458,24.1244487762451
"29",2,240,24.822208404541,29.0528793334961,29.2326011657715,29.3619403839111,29.7544250488281,30.0743083953857,30.5729084014893,29.9774990081787,28.3295764923096,24.1244487762451
"30",2,300,24.6608581542969,28.9402694702148,29.118350982666,29.2444667816162,29.6224842071533,29.9337863922119,30.4587173461914,29.9463062286377,28.3287258148193,24.1244487762451
"31",2,360,25.1060390472412,28.8543014526367,29.0201625823975,29.1332950592041,29.4981231689453,29.8049736022949,30.347282409668,29.9124736785889,28.3273334503174,24.1244487762451
