"","JULDAY","TIME","D0cm","D1.5cm","D3.5cm","D5cm","D10cm","D15cm","D30cm","D60cm","D100cm","D200cm"
"1",1,0,21.798210144043,26.3414974212646,26.5159244537354,26.6288986206055,26.8966960906982,27.0109252929688,26.5657386779785,24.8367805480957,24.1811790466309,24.1244487762451
"2",1,60,22.0436019897461,26.0743846893311,26.2346496582031,26.3421936035156,26.6187210083008,26.7660980224609,26.4963474273682,24.8906784057617,24.1925525665283,24.1244487762451
"3",1,120,21.8340320587158,25.8421993255615,26.0025024414062,26.1070232391357,26.3851146697998,26.5491638183594,26.4137687683105,24.9373416900635,24.2045154571533,24.1244487762451
"4",1,180,21.5968818664551,25.6162605285645,25.7759037017822,25.8838787078857,26.1716041564941,26.3538551330566,26.3234672546387,24.9768924713135,24.2169342041016,24.1244487762451
"5",1,240,21.3410320281982,25.4007053375244,25.5630130767822,25.6730003356934,25.9721698760986,26.1720123291016,26.2286815643311,25.0096397399902,24.2296714782715,24.1244487762451
"6",1,300,21.1919765472412,25.2033958435059,25.3649406433105,25.4762153625488,25.7844085693359,25.9999122619629,26.1313362121582,25.0359630584717,24.242603302002,24.1244487762451
"7",1,360,23.8293609619141,25.2643737792969,25.3352069854736,25.4073810577393,25.6436233520508,25.843620300293,26.032901763916,25.056282043457,24.25563621521,24.1244487762451
"8",1,420,32.1047668457031,25.9871273040771,26.0349884033203,25.7336711883545,25.7120780944824,25.7645854949951,25.9385795593262,25.0711231231689,24.2686519622803,24.1244487762451
"9",1,480,39.9201850891113,27.4138774871826,26.9610939025879,26.6883640289307,26.1362819671631,25.8839855194092,25.8654098510742,25.081413269043,24.2815685272217,24.1244487762451
"10",1,540,46.448314666748,28.965934753418,28.2917079925537,27.8610801696777,26.8420333862305,26.2379150390625,25.8385906219482,25.0890293121338,24.2943229675293,24.1244487762451
"11",1,600,50.6015510559082,30.4501190185547,29.6415138244629,29.1002349853516,27.710018157959,26.7813148498535,25.8769702911377,25.096700668335,24.3068923950195,24.1244487762451
"12",1,660,51.0061340332031,31.6269035339355,30.5740566253662,30.2196636199951,28.5863513946533,27.4294681549072,25.9872379302979,25.1075325012207,24.3193187713623,24.1244487762451
"13",1,720,51.8294982910156,32.4041557312012,31.5808734893799,31.0065879821777,29.3554859161377,28.0758037567139,26.1619777679443,25.1243553161621,24.3316516876221,24.1244487762451
"14",1,780,52.3090667724609,33.1456718444824,32.3246421813965,31.7457885742188,30.0460243225098,28.6815338134766,26.3853321075439,25.1492404937744,24.3440761566162,24.1244487762451
"15",1,840,50.8506813049316,33.6205787658691,32.8628387451172,32.3164672851562,30.6437950134277,29.240177154541,26.6428165435791,25.1833934783936,24.3567066192627,24.1244487762451
"16",1,900,47.3334579467773,33.689567565918,33.0594596862793,32.5963935852051,31.0733013153076,29.7155227661133,26.9201908111572,25.2273082733154,24.3697032928467,24.1244487762451
"17",1,960,41.7562522888184,33.2730903625488,32.846996307373,32.5043983459473,31.2659301757812,30.0547904968262,27.1998748779297,25.280740737915,24.3832244873047,24.1244487762451
"18",1,1020,35.1907691955566,32.4206886291504,32.2232513427734,32.0317764282227,31.1787414550781,30.2093086242676,27.4608726501465,25.3426074981689,24.3974170684814,24.1244487762451
"19",1,1080,28.3630962371826,31.244535446167,31.2749786376953,31.2431621551514,30.8224506378174,30.1567897796631,27.6814479827881,25.4109420776367,24.4123916625977,24.1244487762451
"20",1,1140,25.1787242889404,30.0872039794922,30.4152698516846,30.3129367828369,30.2798271179199,29.9118309020996,27.8433113098145,25.4830284118652,24.4282188415527,24.1244487762451
"21",1,1200,24.1381015777588,29.3361110687256,29.514310836792,29.6118793487549,29.7212009429932,29.5605010986328,27.9381847381592,25.5557403564453,24.444917678833,24.1244487762451
"22",1,1260,23.4365043640137,28.7205390930176,28.9116497039795,29.0255355834961,29.2270488739014,29.191370010376,27.9716529846191,25.6261463165283,24.4624443054199,24.1244487762451
"23",1,1320,22.8886642456055,28.1911392211914,28.4447975158691,28.5192375183105,28.7918872833252,28.841459274292,27.9561767578125,25.6919898986816,24.4807281494141,24.1244487762451
"24",1,1380,22.4479866027832,27.7691097259521,27.9721984863281,28.1026439666748,28.4039459228516,28.5177516937256,27.9040699005127,25.7517566680908,24.4996528625488,24.1244487762451
"25",2,0,22.0946807861328,27.3859443664551,27.5912475585938,27.725944519043,28.0569248199463,28.2193050384521,27.8254165649414,25.8045387268066,24.5190925598145,24.1244487762451
"26",2,60,21.8634490966797,27.0529003143311,27.2571277618408,27.3935928344727,27.744514465332,27.9437808990479,27.7280616760254,25.8498973846436,24.5389022827148,24.1244487762451
"27",2,120,21.6471252441406,26.7574787139893,26.9634628295898,27.0980567932129,27.4628753662109,27.6894817352295,27.6180095672607,25.8877296447754,24.5589542388916,24.1244487762451
"28",2,180,21.4345798492432,26.4910736083984,26.6933765411377,26.8312931060791,27.205774307251,27.4539279937744,27.4998760223389,25.9181690216064,24.5790958404541,24.1244487762451
"29",2,240,21.1944942474365,26.2421035766602,26.4448852539062,26.5840454101562,26.9679584503174,27.2340221405029,27.3769760131836,25.9415149688721,24.5992240905762,24.1244487762451
"30",2,300,20.2217540740967,25.9464244842529,26.1692714691162,26.3240413665771,26.7360649108887,27.0250091552734,27.2515773773193,25.9581623077393,24.6192150115967,24.1244487762451
"31",2,360,23.0534992218018,25.8579521179199,26.1983680725098,26.1245555877686,26.5309505462646,26.8205890655518,27.1244678497314,25.9685325622559,24.6389541625977,24.1244487762451
"32",2,420,32.1878318786621,26.7451953887939,26.5925102233887,26.5276107788086,26.5510654449463,26.6928005218506,26.9998397827148,25.9730930328369,24.6583499908447,24.1244487762451
"33",2,480,41.3393020629883,28.2434883117676,27.77756690979,27.5033226013184,26.9847812652588,26.7853565216064,26.8965167999268,25.9727592468262,24.6773109436035,24.1244487762451
"34",2,540,49.443603515625,30.0478477478027,29.3057613372803,28.8373947143555,27.760570526123,27.1513328552246,26.8437175750732,25.96950340271,24.695779800415,24.1244487762451
"35",2,600,55.073616027832,31.8542194366455,30.9257526397705,30.3106479644775,28.7607173919678,27.7534561157227,26.8651523590088,25.9663696289062,24.7137393951416,24.1244487762451
"36",2,660,57.1564788818359,33.3434028625488,32.3491401672363,31.6717643737793,29.8240966796875,28.5054225921631,26.9718074798584,25.966947555542,24.7312412261963,24.1244487762451
